1,1.05E-14,1E-23,8.68735727748734E-16,3.06988472271084E-16
2,1.05E-14,1E-23,8.68735727748734E-16,3.06988472271084E-16
3,1.00E-14,3.70119513918373E-17,2.79736087695949E-15,2.80391266864912E-16
4,3.70E-14,5.65E-14,1.04559200525073E-14,7.3865291428153E-16
5,3.70E-14,1.4571218255213E-18,7.01651859869889E-15,8.11719142528036E-16
6,1.00E-15,1.17015966442439E-18,7.7095815167149E-15,2.05292485680238E-13
7,3.70E-15,3.80212541554568E-19,2.15320675526335E-14,1.19013817278563E-14
8,3.70E-15,5.85059486105432E-20,1.54664178302948E-14,8.79191968097034E-13
9,1.11E-14,3.76606511037024E-17,3.26447099775275E-14,7.32859431036281E-13
10,3.70074341541719E-17,2.42958520611185E-19,3.81298644807883E-14,4.28588268926054E-12
11,1E-23,1.78899096261478E-18,1.35509320162881E-13,1.01359319772089E-12
12,1E-23,2.42863790449231E-19,1.71955664104378E-13,3.2126484715214E-13
13,1.11022302462516E-16,1.68809380852638E-16,6.08815500389293E-13,7.94331887098062E-14
14,1.11022302462516E-16,3.40508595605121E-16,3.84924467610673E-13,4.54796283179633E-15
15,1.57009245868378E-16,3.78577179124018E-16,5.2850172570156E-13,1.20783040520019E-11
